,Neisseria elongata C2011003085,Neisseria elongata subsp. glycolytica 431 NMEN,Neisseria elongata subsp. glycolytica 404 NMEN,Neisseria elongata subsp. elongata ATCC 25295,Neisseria elongata subsp. glycolytica NCTC11050,Neisseria elongata M15910,Neisseria elongata subsp. glycolytica 1279 NMEN,Neisseria elongata C2013018262,Neisseria elongata C2014003241,Neisseria elongata subsp. glycolytica ATCC 29315 ATCC 29315,Neisseria elongata NCTC10660,Neisseria elongata M15911,Kingella potus NCTC13336,Kingella potus 3 SID 1128,Neisseria bacilliformis 203 NMEN,Neisseria bacilliformis 914 NLAC,Neisseria bacilliformis DSM 23338,Neisseria bacilliformis ATCC BAA 1200,Neisseria shayeganii DSM22244,Neisseria shayeganii 871,Eikenella corrodens FDAARGOS 1474,Eikenella corrodens ATCC 23834 ATCC 23834,Eikenella sp. NML03-A-027 NML03-A-027,Eikenella exigua PXX,Eikenella sp. NML96-A-049 NML96-A-049,Eikenella longinqua NML02-A-017,Eikenella sp. NML99-0057 NML99-0057,Eikenella corrodens EI 07,Eikenella sp. NML070372 NML070372,Eikenella sp. NML97-A-109 NML97-A-109,Eikenella sp. NML080894 NML080894,Eikenella sp. HMSC061C02 HMSC061C02,Eikenella halliae NML130454,Eikenella corrodens EI 01,Eikenella sp. NML120348 NML120348,Eikenella sp. HMSC073A11 HMSC073A11,Eikenella corrodens KCOM 1378,Eikenella corrodens NML130388,Eikenella corrodens EI 05,Eikenella corrodens NML04-0072,Eikenella corrodens NML140207,Eikenella corrodens 491 NMEN,Eikenella glucosivorans S3360,Eikenella corrodens NML01-0328,Eikenella corrodens EI 04,Eikenella corrodens NML01-0040,Eikenella corrodens EI 06,Eikenella sp. NML01-A-086 NML01-A-086,Eikenella exigua EI 02,Eikenella corrodens EI 03,Eikenella corrodens EI 08,Eikenella sp. HMSC071B05 HMSC071B05,Eikenella corrodens KCOM 3110,Eikenella corrodens EI 09,Eikenella corrodens NML120819,Eikenella corrodens NCTC10596,Eikenella corrodens CC92I CC92I,Eikenella sp. Marseille-P7795 Marseille-P7795,Kingella sp. CICC 24913 CICC 24913,Conchiformibius kuhniae DSM 17694 DSM 17694,Conchiformibius steedae COT-280,Conchiformibius steedae DSM 2580 DSM 2580,Conchiformibius steedae DSM 2580,Kingella denitrificans GC77,Kingella denitrificans ATCC 33394 ATCC 33394,Kingella denitrificans FDAARGOS 1060,Kingella denitrificans NCTC10995,Kingella bonacorsii Marseille-Q4569,Kingella oralis DSM 18271,Kingella oralis ATCC 51147 ATCC 51147,Alysiella filiformis DSM 16848,Alysiella filiformis DSM 16848 DSM 16848,Simonsiella muelleri ATCC 29453,Simonsiella muelleri DSM 2579,Alysiella crassa S6,Alysiella crassa NCTC10283,Alysiella crassa DSM 2578 DSM 2578,Kingella negevensis kingella eburonensis,Kingella negevensis Pharynx,Kingella negevensis SW7208426,Kingella kingae PV1748 PV1748,Kingella kingae KK113 KK113,Kingella kingae KK245 KK245,Kingella kingae BB114 BB114,Kingella kingae KK274,Kingella kingae NCTC10746,Kingella kingae ATCC 23332,Kingella kingae KK83 KK83,Kingella kingae 11220434 11220434,Kingella kingae KK12 KK12,Kingella kingae KK101 KK101,Kingella kingae KK260 KK260,Kingella kingae KK145 KK145,Kingella kingae KK156 KK156,Kingella kingae KK107 KK107,Kingella kingae KK6 KK6,Kingella kingae AA417 AA417,Kingella kingae KK411 KK411,Kingella kingae KK274 KK274,Kingella kingae KK199 KK199,Kingella kingae KK242 KK242,Kingella kingae CC254 CC254,Kingella kingae KK171 KK171,Kingella kingae KK3 KK3,Kingella kingae Vir5453 Vir5453,Kingella kingae BB631 BB631,Kingella kingae D2363 D2363,Kingella kingae BB060 BB060,Kingella kingae KK60 KK60,Kingella kingae KK88 KK88,Kingella kingae ATCC 23330 ATCC 23330,Kingella kingae 4177 66,Kingella kingae NCTC10529,Kingella kingae KK189 KK189,Kingella kingae KK141 KK141,Kingella kingae KK75 KK75,Kingella kingae AA068 AA068,Kingella kingae KK158 KK158,Kingella kingae KK56 KK56,Kingella kingae AA255 AA255,Kingella kingae AA105 AA105,Kingella kingae KK238 KK238,Kingella kingae BB016 BB016,Kingella kingae KK97 KK97,Kingella kingae KK93 KK93,Kingella kingae KK190 KK190,Kingella kingae KK128 KK128,Kingella kingae ATCC 23331,Kingella kingae PYKK081 PYKK081,Kingella kingae D7330 D7330,Kingella kingae chl4475,Kingella kingae chl3548,Kingella kingae chl2764,Kingella kingae F41215CHC
Neisseria elongata NCTC10660,96.083206,96.003426,96.017181,99.979828,96.177246,96.430618,96.310661,96.364639,96.344971,96.106232,100,99.997467,80.757675,80.733383,81.902237,81.617615,81.895302,81.755524,78.70118,78.565132,79.954094,80.437683,80.43808,81.779663,81.565125,80.515518,80.610916,80.736481,80.542091,80.610458,80.603699,80.586868,80.459427,80.467247,80.271278,81.755058,81.675964,81.69072,81.765442,81.605408,81.608742,81.836151,81.752655,81.600403,81.884285,81.919319,81.817375,81.73304,81.521347,81.625717,81.637848,81.671883,81.958099,81.707954,81.505615,82.001495,81.666008,82.005692,79.991669,77.656219,77.123772,78.063889,78.02916,80.89994,81.233643,81.487091,81.466766,78.819839,78.591599,78.517838,74,74,74,74,74,74,74,74,74,74,76.927933,74,74,76.89917,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria elongata M15911,96.029709,96.015022,96.063217,99.981293,96.110138,96.428322,96.23317,96.392036,96.427536,96.097763,99.997467,100,80.709641,80.645279,81.90078,81.74971,81.869385,81.656174,78.605461,78.59996,79.833572,80.379845,80.362915,81.77874,81.663651,80.580521,80.632217,80.817703,80.564026,80.567245,80.518784,80.617798,80.426628,80.577263,80.497177,81.634178,81.622299,81.82045,81.731232,81.643387,81.722198,81.854019,81.60067,81.606834,81.8638,81.925217,81.920074,81.730743,81.524475,81.597351,81.601021,81.760941,81.95005,81.709137,81.634354,82.046776,81.761719,82.051468,80.015785,77.648102,77.200897,77.862167,77.927376,80.904221,81.168152,81.449936,81.452019,78.824554,78.451195,78.490311,74,74,74,74,74,74,74,74,74,74,74,74,74,76.804802,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Kingella potus NCTC13336,80.754044,80.8414,80.763077,80.558571,80.855164,80.879196,80.95005,80.747467,80.709854,80.867569,80.757675,80.709641,100,99.894844,86.890488,86.903259,86.82077,86.766197,79.201797,79.062042,79.511581,79.77462,79.678192,79.276993,79.37001,79.03186,79.047867,79.209213,79.041321,79.001358,78.966003,79.075058,79.106522,79.079865,79.018692,79.123535,79.123505,79.223473,79.177292,79.210693,79.263641,79.151733,79.276573,79.326729,79.245186,79.273788,79.219986,79.27285,79.13623,79.129623,79.179367,79.093185,79.237717,79.186226,79.124878,79.186592,79.160767,79.323006,80.299362,77.897598,77.243286,77.997711,78.041481,78.928741,78.838333,79.041054,78.937469,78.570724,78.639679,78.651672,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Kingella potus 3 SID 1128,80.506546,80.770813,80.692253,80.557266,80.819733,80.80043,80.81395,80.688194,80.601227,80.805527,80.733383,80.645279,99.894844,100,86.794113,86.776443,86.724709,86.695496,79.155807,79.021088,79.345367,79.828087,79.649216,79.382156,79.374619,78.96656,79.020874,79.223877,78.959366,79.105225,79.002029,79.065277,79.058624,79.010437,79.002937,79.103134,79.123482,79.192795,79.187416,79.196365,79.210129,79.117126,79.191406,79.229218,79.181137,79.20491,79.106377,79.1819,79.117447,79.026993,79.079666,79.107513,79.301636,79.10218,79.068878,79.246643,79.261948,79.38044,80.255951,77.812325,77.259842,78.095169,78.070526,78.843018,78.687683,79.072296,78.913475,78.753052,78.723694,78.762665,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria bacilliformis 203 NMEN,82.139633,81.37999,81.361717,81.753815,81.946884,82.06353,81.670921,82.125061,82.627335,82.084,81.902237,81.90078,86.890488,86.794113,100,97.060684,96.954849,97.032204,79.391647,79.395645,80.006866,80.244247,80.267448,80.220795,80.301239,79.725082,79.550339,79.790054,79.440201,79.752289,79.718468,79.472229,79.40509,79.394241,79.263412,80.130081,80.048943,79.990334,80.46286,80.090591,79.805534,80.113632,80.128426,80.305298,80.303223,80.177025,80.265755,80.214836,80.248222,80.232971,80.176498,80.153618,80.204468,80.416603,79.997765,80.10656,80.019302,80.111374,81.696808,77.992081,77.291939,77.457314,77.485085,79.51326,79.711975,80.07547,80.025742,79.628731,79.65741,79.598679,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria bacilliformis 914 NLAC,81.599274,81.565224,81.516823,81.627045,81.733849,81.923515,81.533295,81.785431,81.785355,81.735367,81.617615,81.74971,86.903259,86.776443,97.060684,100,98.085297,98.128769,79.295135,79.32814,80.123062,80.433136,80.370956,80.217789,80.107994,79.564224,79.603958,79.757782,79.598541,79.886383,79.869171,79.706062,79.599792,79.622803,79.573929,80.006569,80.070526,79.829147,80.124176,80.012955,79.878464,80.036713,79.913406,79.981697,80.089989,80.127258,79.981041,80.167412,80.096786,79.985001,79.940598,80.037285,80.112488,80.002632,80.134293,80.040634,80.160568,80.072739,81.721634,77.948929,74,77.347694,77.352676,79.386322,79.545685,79.615692,79.525085,79.329887,79.210327,79.310768,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria bacilliformis DSM 23338,81.673523,81.471878,81.47168,81.594803,81.987251,81.972672,81.764839,81.951584,81.917633,81.884407,81.895302,81.869385,86.82077,86.724709,96.954849,98.085297,100,99.916473,79.407669,79.565842,80.114899,80.548035,80.390678,80.212845,80.342255,79.560684,79.523544,79.748627,79.661591,80.018723,79.977112,79.836105,79.790375,79.793182,79.793716,80.154312,80.231537,79.959831,80.151245,80.131119,79.958084,79.955338,80.157883,79.969971,80.138275,80.232422,80.017746,80.056084,80.560287,80.071976,79.988541,79.979919,80.419365,80.463531,80.226517,80.346214,80.169525,80.330307,81.883018,78.009689,77.519028,77.612976,77.585556,79.41935,79.478088,79.825577,79.742142,79.83757,79.571228,79.654686,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria bacilliformis ATCC BAA 1200,81.665649,81.541214,81.564552,81.521049,81.843567,81.864006,81.666428,81.881035,81.866623,81.842026,81.755524,81.656174,86.766197,86.695496,97.032204,98.128769,99.916473,100,79.30526,79.46727,79.99614,80.447304,80.396454,80.141418,80.285751,79.523575,79.544724,79.693207,79.607269,79.966461,79.942307,79.702423,79.630966,79.811768,79.636169,80.090607,80.102982,79.900055,80.144302,80.095734,79.887238,79.973969,80.058228,79.923119,80.110107,80.116425,79.880371,80.119888,80.519043,79.966858,80.074677,79.970215,80.191895,80.321945,80.227524,80.209892,80.175552,80.117416,81.771736,77.971619,77.473328,77.476471,77.419441,79.429527,79.471802,79.681641,79.601097,79.668793,79.614853,79.727768,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria shayeganii DSM22244,78.514931,78.576172,78.584824,78.58168,78.601593,78.876465,78.826073,78.778397,78.770523,78.620529,78.70118,78.605461,79.201797,79.155807,79.391647,79.295135,79.407669,79.30526,100,96.451591,79.99968,80.228287,80.111893,79.954712,79.809189,79.5224,79.515724,79.513992,79.512672,79.47464,79.492416,79.518509,79.429108,79.473137,79.465157,79.79599,79.778976,79.771576,79.758377,79.750587,79.779968,79.805931,79.668091,79.781265,79.932472,79.782669,79.774971,79.838028,79.842972,79.6539,79.7285,79.688591,79.724792,79.571823,79.849594,79.845032,79.815598,79.80407,79.218491,78.059555,77.68959,78.126312,78.023407,78.457413,78.474564,78.632858,78.597839,77.956802,77.937744,77.831726,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Neisseria shayeganii 871,78.612694,78.685165,78.641777,78.629097,78.576889,78.597168,78.587082,78.769791,78.751465,78.627609,78.565132,78.59996,79.062042,79.021088,79.395645,79.32814,79.565842,79.46727,96.451591,100,79.918388,80.135605,80.230751,79.896622,80.02079,79.570618,79.572845,79.472046,79.636574,79.589294,79.60083,79.431442,79.522339,79.445602,79.51606,79.696716,79.736237,79.698639,79.698334,79.557922,79.757935,79.772919,79.632141,79.669518,79.85051,79.672272,79.770752,79.759674,79.687103,79.601257,79.723526,79.767761,79.711517,79.660812,79.668427,79.755676,79.684021,79.708275,79.390373,78.168579,77.814423,77.969048,77.962753,78.433151,78.368919,78.489891,78.411476,77.881256,77.753738,77.842232,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens FDAARGOS 1474,79.803444,79.936508,79.90152,79.84874,79.733459,79.650467,79.681747,79.698555,79.868484,79.892715,79.954094,79.833572,79.511581,79.345367,80.006866,80.123062,80.114899,79.99614,79.99968,79.918388,100,91.933266,91.802879,86.022293,86.196335,85.469528,85.285553,85.361313,85.777939,85.330368,85.586258,85.367714,85.279099,85.217209,85.444534,85.74173,85.792892,86.381874,85.62886,85.992691,85.804245,85.729126,85.839615,86.198196,85.803375,86.536087,86.198967,85.747284,85.55484,86.110748,86.038712,86.028458,85.566849,85.936546,85.756218,85.485046,85.692299,85.557076,79.79361,77.42662,74,74,74,79.585861,79.317139,79.524628,79.52224,78.196274,78.248642,78.16301,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens ATCC 23834 ATCC 23834,80.478844,80.123314,80.056343,80.230545,80.0261,80.352783,80.30481,80.281067,80.421158,80.083389,80.437683,80.379845,79.77462,79.828087,80.244247,80.433136,80.548035,80.447304,80.228287,80.135605,91.933266,100,99.335464,86.541313,86.789009,85.681366,85.686707,85.690849,85.791687,85.921837,85.967987,85.808746,85.848633,85.760757,85.764488,86.359512,86.423737,86.78363,86.445404,86.37912,86.474335,86.33313,86.337524,86.786415,86.256332,86.816917,86.675034,86.275177,86.468994,86.749512,86.677643,86.315491,86.384621,86.38707,86.365715,86.202812,86.181931,86.24929,80.200485,77.681229,74,74,77.235252,79.963531,79.860245,80.175003,80.087357,79.010925,78.345497,78.334183,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. NML03-A-027 NML03-A-027,80.485123,80.173935,80.216797,80.353714,80.383728,80.204803,80.341095,80.448334,80.547577,80.373665,80.43808,80.362915,79.678192,79.649216,80.267448,80.370956,80.390678,80.396454,80.111893,80.230751,91.802879,99.335464,100,86.597244,86.744492,85.638458,85.701035,85.678375,85.921204,86.072044,86.083008,85.914886,85.832596,85.732803,85.880768,86.351089,86.400864,86.478722,86.368561,86.353134,86.416153,86.435699,86.30423,86.218033,86.360046,86.287338,86.379333,86.376999,86.323997,86.440292,86.310104,86.464348,86.279594,86.34729,86.328918,86.210449,86.332428,86.399109,80.109741,77.789536,76.981758,74,77.082161,80.168869,79.924271,80.261368,80.074112,78.631195,78.408813,78.53997,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella exigua PXX,81.973297,82.139847,82.120796,81.598801,81.617554,81.837067,81.362877,81.508728,81.739311,81.71701,81.779663,81.77874,79.276993,79.382156,80.220795,80.217789,80.212845,80.141418,79.954712,79.896622,86.022293,86.541313,86.597244,100,94.065353,91.137535,91.184486,91.233459,91.234985,91.109406,91.176804,91.11113,91.140396,91.128952,91.126663,92.776779,92.780685,92.803543,92.642845,92.827156,92.787651,92.865967,92.748962,92.754242,92.845093,92.707672,92.662415,92.752632,92.752357,92.749611,92.618256,92.867203,92.755058,92.60434,92.648819,92.741928,92.810135,92.757339,80.210678,77.966843,77.271622,78.085358,74,81.69368,81.737518,81.950607,81.818069,79.030685,78.868622,78.661331,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. NML96-A-049 NML96-A-049,81.848282,81.581169,81.678192,81.588104,81.7556,82.147385,82.1091,82.018593,81.888428,82.017883,81.565125,81.663651,79.37001,79.374619,80.301239,80.107994,80.342255,80.285751,79.809189,80.02079,86.196335,86.789009,86.744492,94.065353,100,91.263687,91.157906,91.354004,91.551544,91.534027,91.504105,91.434807,91.44043,91.440018,91.500107,92.813934,92.848358,93.171631,92.853798,93.052689,93.044861,92.835503,93.119827,93.007248,93.08461,92.833115,92.858795,93.140503,93.112061,92.938187,93.044235,93.083267,92.870102,93.051208,93.06987,93.009003,93.077133,93.04863,80.232361,77.639519,77.027542,77.228424,77.173737,81.630142,82.027145,82.05542,82.029991,78.754684,78.838371,78.714096,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella longinqua NML02-A-017,80.828445,80.745613,80.683578,80.492722,80.704941,80.737244,80.554367,80.64389,80.788651,80.811852,80.515518,80.580521,79.03186,78.96656,79.725082,79.564224,79.560684,79.523575,79.5224,79.570618,85.469528,85.681366,85.638458,91.137535,91.263687,100,99.511505,99.416107,95.719498,95.41745,95.492233,95.93782,95.964249,95.998276,95.946243,92.121185,92.116005,92.265396,92.04187,92.120735,92.201508,92.163589,92.132858,92.14563,92.200508,92.259872,92.130707,92.161789,92.140533,92.12207,92.091064,92.131134,92.219292,92.055008,92.040787,92.074478,92.124435,92.099014,79.499786,77.460175,77.203468,74,74,80.302841,80.442307,80.501968,80.42968,78.502968,78.381744,78.497635,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. NML99-0057 NML99-0057,80.83902,80.643356,80.640869,80.49395,80.714523,80.7043,80.491241,80.669586,80.620239,80.840546,80.610916,80.632217,79.047867,79.020874,79.550339,79.603958,79.523544,79.544724,79.515724,79.572845,85.285553,85.686707,85.701035,91.184486,91.157906,99.511505,100,99.782257,95.588043,95.363663,95.34465,95.877296,95.941307,95.974503,95.908188,92.071533,92.128777,92.401344,92.074287,92.129257,92.135788,92.078201,92.180687,92.134384,92.178085,92.141815,92.914,92.13829,92.102615,92.129723,92.168137,92.158722,92.177101,92.092117,92.101509,92.106232,92.107773,92.120338,79.607864,77.534485,74,74,77.189774,80.470703,80.663895,80.72683,80.700371,78.487015,78.299911,78.495537,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 07,80.994858,80.951874,80.900246,80.70668,80.828766,80.898102,81.129166,80.649223,80.694336,80.970222,80.736481,80.817703,79.209213,79.223877,79.790054,79.757782,79.748627,79.693207,79.513992,79.472046,85.361313,85.690849,85.678375,91.233459,91.354004,99.416107,99.782257,100,95.501678,95.390327,95.364349,95.939499,95.924202,95.966797,95.931084,92.08342,92.116852,92.304428,92.010773,92.13382,92.010178,92.174789,92.052376,92.087982,92.082336,92.145287,92.044556,92.02655,92.07312,92.049889,92.070335,92.089828,92.034538,92.035324,91.974487,92.134506,92.083771,92.125801,79.601326,77.52813,74,74,74,80.47197,80.633751,80.849007,80.766541,78.72731,78.544617,78.64283,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. NML070372 NML070372,80.718185,80.40638,80.384964,80.475433,80.513794,80.559799,80.88694,80.57164,80.67141,80.690125,80.542091,80.564026,79.041321,78.959366,79.440201,79.598541,79.661591,79.607269,79.512672,79.636574,85.777939,85.791687,85.921204,91.234985,91.551544,95.719498,95.588043,95.501678,100,96.054504,96.243652,96.139114,96.137291,96.16478,96.085732,91.964539,91.962715,92.676056,92.27652,92.262329,92.316193,92.315872,92.300896,92.173737,92.343719,92.255699,92.075699,92.27092,92.196007,92.187584,92.157074,92.356689,92.1698,92.22757,92.162476,92.236084,92.276131,92.314186,79.348785,77.308853,74,74,74,80.483902,80.452682,80.561462,80.538025,78.260193,78.331619,78.326401,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. NML97-A-109 NML97-A-109,80.765289,80.588104,80.620041,80.306244,80.777962,80.97377,81.294769,80.789673,80.648651,80.746033,80.610458,80.567245,79.001358,79.105225,79.752289,79.886383,80.018723,79.966461,79.47464,79.589294,85.330368,85.921837,86.072044,91.109406,91.534027,95.41745,95.363663,95.390327,96.054504,100,99.932961,95.705124,95.778008,95.76503,95.79612,92.00705,91.989212,92.541817,92.079666,92.014038,92.025894,92.004089,92.061752,92.141083,92.0728,92.060898,92.040207,92.122971,92.0858,92.083649,92.129272,92.168472,92.097313,92.117981,92.107674,92.146973,92.208618,92.182175,79.479599,77.522087,74,74,76.875504,80.656265,80.619461,80.870392,80.638199,78.777718,78.498497,78.426102,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. NML080894 NML080894,80.713135,80.58564,80.605629,80.384193,80.612366,80.931229,80.725647,80.770721,80.615692,80.693314,80.603699,80.518784,78.966003,79.002029,79.718468,79.869171,79.977112,79.942307,79.492416,79.60083,85.586258,85.967987,86.083008,91.176804,91.504105,95.492233,95.34465,95.364349,96.243652,99.932961,100,95.752411,95.735115,95.724289,95.72348,92.040001,92.038254,92.502289,92.071251,92.076431,92.183975,92.109665,92.155685,92.160507,92.117508,92.229134,92.074738,92.205673,92.110222,92.03389,92.014534,92.363327,92.131073,92.104416,92.087234,92.123169,92.208481,92.15451,79.489494,77.577057,74,74,74,80.676598,80.662399,80.899132,80.769585,78.829453,78.426529,78.407013,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. HMSC061C02 HMSC061C02,80.802254,80.402115,80.505142,80.406151,80.523506,80.641464,80.555573,80.581352,80.631683,80.518097,80.586868,80.617798,79.075058,79.065277,79.472229,79.706062,79.836105,79.702423,79.518509,79.431442,85.367714,85.808746,85.914886,91.11113,91.434807,95.93782,95.877296,95.939499,96.139114,95.705124,95.752411,100,99.22998,99.380432,99.351418,92.010674,91.979744,92.575615,92.321991,92.447632,92.221695,92.381592,92.189758,92.20282,92.318993,92.270523,92.166794,92.260559,92.196762,92.348976,92.218399,92.22361,92.254562,92.169243,92.276382,92.292351,92.361534,92.256256,79.540245,77.49321,74,74,74,80.587936,80.336807,80.440948,80.458786,78.617203,78.287399,78.322968,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella halliae NML130454,80.646591,80.501846,80.640198,80.371796,80.504601,80.453613,80.954712,80.691391,80.779617,80.501785,80.459427,80.426628,79.106522,79.058624,79.40509,79.599792,79.790375,79.630966,79.429108,79.522339,85.279099,85.848633,85.832596,91.140396,91.44043,95.964249,95.941307,95.924202,96.137291,95.778008,95.735115,99.22998,100,99.564812,99.540001,91.961517,91.921188,92.636765,92.171997,92.15686,92.206863,92.231857,92.200241,92.132187,92.227219,92.148132,92.191643,92.252045,92.156952,92.237526,92.337799,92.203087,92.084679,92.163261,92.123436,92.235283,92.352081,92.231216,79.44001,77.476471,74,74,74,80.43988,80.290657,80.313698,80.412521,78.723885,78.229836,78.261421,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 01,80.699234,80.466545,80.545395,80.393364,80.531891,80.598145,80.991211,80.673378,80.710091,80.566406,80.467247,80.577263,79.079865,79.010437,79.394241,79.622803,79.793182,79.811768,79.473137,79.445602,85.217209,85.760757,85.732803,91.128952,91.440018,95.998276,95.974503,95.966797,96.16478,95.76503,95.724289,99.380432,99.564812,100,99.799385,91.92926,91.892014,92.6465,92.199821,92.12262,92.202286,92.213501,92.271187,92.186066,92.232422,92.172791,92.219711,92.191063,92.217377,92.23407,92.237679,92.190506,92.097168,92.279678,92.127312,92.314125,92.322395,92.257637,79.374146,77.428688,74,74,74,80.546921,80.420418,80.561699,80.538467,78.552338,78.324463,78.296814,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
